iter	Passed	Remaining
542	1072	902
543	1074	901
544	1076	898
545	1078	897
546	1080	894
547	1082	892
548	1084	890
549	1086	888
550	1088	886
551	1089	884
552	1091	882
553	1093	880
554	1095	878
555	1097	876
556	1099	874
557	1101	872
558	1103	870
559	1104	868
560	1106	866
561	1108	864
562	1110	862
563	1112	859
564	1114	857
565	1116	855
566	1118	853
567	1119	851
568	1121	849
569	1123	847
570	1125	845
571	1127	843
572	1129	841
573	1131	839
574	1133	837
575	1135	835
576	1136	833
577	1138	831
578	1140	829
579	1142	827
580	1144	825
581	1146	823
582	1148	821
583	1149	819
584	1151	817
585	1153	815
586	1155	813
587	1157	810
588	1159	808
589	1161	806
590	1163	804
591	1165	802
592	1167	801
593	1169	799
594	1171	797
595	1174	796
596	1177	794
597	1181	794
598	1183	792
599	1185	790
600	1187	788
601	1190	786
602	1192	784
603	1194	782
604	1198	782
605	1200	780
606	1201	778
607	1203	776
608	1205	773
609	1206	771
610	1208	769
611	1210	767
612	1212	765
613	1213	763
614	1215	760
615	1217	758
616	1219	756
617	1221	754
618	1223	753
619	1225	751
620	1227	749
621	1229	747
622	1231	745
623	1233	742
624	1234	740
625	1236	738
626	1238	736
627	1240	734
628	1242	732
629	1244	730
630	1246	728
631	1247	726
632	1249	724
633	1251	722
634	1253	720
635	1255	718
636	1257	716
637	1259	714
638	1261	712
639	1263	710
640	1264	708
641	1266	706
642	1268	704
643	1270	702
644	1272	700
645	1274	698
646	1276	696
647	1277	694
648	1279	692
649	1281	690
650	1283	688
651	1285	685
652	1287	683
653	1288	681
654	1290	679
655	1292	677
656	1294	675
657	1296	673
658	1297	671
659	1299	669
660	1301	667
661	1303	665
662	1306	663
663	1308	661
664	1310	659
665	1312	658
666	1314	656
667	1316	654
668	1318	652
669	1319	650
670	1321	647
671	1323	645
672	1325	643
673	1326	641
674	1328	639
675	1330	637
676	1332	635
677	1334	633
678	1336	631
679	1337	629
680	1339	627
681	1341	625
682	1343	623
683	1345	621
684	1346	619
685	1348	617
686	1350	615
687	1352	613
688	1354	611
689	1356	609
690	1357	607
691	1359	605
692	1361	603
693	1363	601
694	1365	599
695	1366	596
696	1368	594
697	1370	593
698	1372	591
699	1374	589
700	1376	587
701	1378	585
702	1379	583
703	1381	580
704	1383	578
705	1385	576
706	1387	574
707	1389	572
708	1390	570
709	1392	568
710	1394	566
711	1396	564
712	1398	562
713	1400	560
714	1401	558
715	1403	556
716	1405	554
717	1407	552
718	1410	551
719	1412	549
720	1415	547
721	1416	545
722	1418	543
723	1420	541
724	1422	539
725	1424	537
726	1426	535
727	1427	533
728	1429	531
729	1431	529
730	1433	527
731	1435	525
732	1436	523
733	1438	521
734	1440	519
735	1442	517
736	1444	515
737	1445	513
738	1447	511
739	1449	509
740	1451	507
741	1453	505
742	1454	503
743	1456	501
744	1458	499
745	1460	497
746	1462	495
747	1463	493
748	1465	491
749	1467	489
750	1469	487
751	1471	485
752	1473	483
753	1474	481
754	1476	479
755	1478	477
756	1480	475
757	1482	473
758	1484	471
759	1485	469
760	1487	467
761	1489	465
762	1491	463
763	1493	461
764	1494	459
765	1496	457
766	1498	455
767	1500	453
768	1504	451
769	1506	450
770	1509	448
771	1511	446
772	1513	444
773	1515	442
774	1517	440
775	1520	438
776	1522	436
777	1524	435
778	1526	433
779	1528	431
780	1530	429
781	1532	427
782	1534	425
783	1535	423
784	1537	421
785	1539	419
786	1541	417
787	1544	415
788	1547	413
789	1549	411
790	1551	409
791	1553	408
792	1557	406
793	1559	404
794	1561	402
795	1562	400
796	1564	398
797	1566	396
798	1568	394
799	1570	392
800	1572	390
801	1573	388
802	1575	386
803	1578	384
804	1580	382
805	1581	380
806	1583	378
807	1585	376
808	1587	374
809	1589	372
810	1591	370
811	1592	368
812	1594	366
813	1596	364
814	1598	362
815	1600	360
816	1602	358
817	1604	356
818	1605	354
819	1608	353
820	1610	351
821	1612	349
822	1614	347
823	1616	345
824	1618	343
825	1620	341
826	1621	339
827	1623	337
828	1625	335
829	1627	333
830	1629	331
831	1631	329
832	1633	327
833	1635	325
834	1636	323
835	1638	321
836	1640	319
837	1642	317
838	1644	315
839	1646	313
840	1647	311
841	1649	309
842	1651	307
843	1653	305
844	1654	303
845	1656	301
846	1658	299
847	1660	297
848	1662	295
849	1664	293
850	1665	291
851	1667	289
852	1669	287
853	1671	285
854	1673	283
855	1675	281
856	1677	279
857	1679	277
858	1681	275
859	1683	274
860	1685	272
861	1686	270
862	1688	268
863	1690	266
864	1692	264
865	1694	262
866	1695	260
867	1697	258
868	1699	256
869	1701	254
870	1703	252
871	1705	250
872	1706	248
873	1708	246
874	1710	244
875	1712	242
876	1714	240
877	1715	238
878	1717	236
879	1719	234
880	1721	232
881	1723	230
882	1724	228
883	1726	226
884	1728	224
885	1730	222
886	1731	220
887	1733	218
888	1735	216
889	1737	214
890	1739	212
891	1741	210
892	1743	208
893	1744	206
894	1746	204
895	1748	202
896	1750	201
897	1752	199
898	1754	197
899	1756	195
900	1757	193
901	1759	191
902	1761	189
903	1763	187
904	1765	185
905	1767	183
906	1771	181
907	1773	179
908	1775	177
909	1777	175
910	1779	173
911	1781	171
912	1783	169
913	1785	168
914	1787	166
915	1789	164
916	1791	162
917	1793	160
918	1795	158
919	1797	156
920	1799	154
921	1801	152
922	1803	150
923	1805	148
924	1807	146
925	1809	144
926	1811	142
927	1813	140
928	1815	138
929	1816	136
930	1818	134
931	1820	132
932	1822	130
933	1824	128
934	1826	126
935	1827	124
936	1829	123
937	1831	121
938	1833	119
939	1835	117
940	1837	115
941	1838	113
942	1840	111
943	1842	109
944	1844	107
945	1846	105
946	1848	103
947	1849	101
948	1851	99
949	1853	97
950	1855	95
951	1857	93
952	1859	91
953	1860	89
954	1862	87
955	1864	85
956	1866	83
957	1868	81
958	1870	79
959	1871	77
960	1873	76
961	1875	74
962	1877	72
963	1879	70
964	1880	68
965	1882	66
966	1884	64
967	1886	62
968	1888	60
969	1889	58
970	1891	56
971	1893	54
972	1895	52
973	1897	50
974	1898	48
975	1900	46
976	1902	44
977	1904	42
978	1906	40
979	1907	38
980	1909	36
981	1911	35
982	1913	33
983	1914	31
984	1916	29
985	1918	27
986	1920	25
987	1922	23
988	1923	21
989	1926	19
990	1927	17
991	1929	15
992	1931	13
993	1933	11
994	1935	9
995	1937	7
996	1938	5
997	1940	3
998	1942	1
999	1944	0
